PII,Class
Jan Biedermann,FN|LN
Hanns Wurst,FN|LN
Wieland,LN
Carlo  Weißenberger,FN|LN
Weber,LN
Willibald Vogler,FN|LN
Kindler,LN
Konstantin Tupolev,FN|LN
Boeck,LN
Amadea Leber,FN|LN
Renate Stutz,FN|LN
Andreas Queisser,FN|LN
Pinocchio Cwerg-Nase,FN|LN
W. Fleischmann,FN|LN
Irina Popovic,FN|LN
Jürgen Schneider,FN|LN
Frederic Meisenbacher,FN|LN
Vasyl Oleksandrovych Lavrynenko,FN|FN|LN
Prächtel,LN
Leber,LN
Iris Iselin,FN|LN
Hals,LN
Supanic,LN
Fabry,LN
Haefner,LN
Flora,LN
Alissa Rieser,FN|LN
Andreas Leiberger,FN|LN
Marija,FN
Wieland Wagner,FN|LN
Kornél Nagy,FN|LN
Tobias Öhler,FN|LN
Isabella Meulengracht,FN|LN
Horst Auenbrugger,FN|LN
Beatrice DE BEAUHARNAIS,FN|LN|LN
Schickedanz,LN
Udo Waldenström,FN|LN
Baastrup Asger,LN|FN
Gerlinde Schielaug,FN|LN
Antonia Zucker,FN|LN
Kurt Kapfner,FN|LN
Kevin Schlauberger,FN|LN
Steffen Schlauberger,FN|LN
Thorben Thorwald,FN|LN
László Kanyuk,FN|LN
W.,LN
Damaris,LN
Huberta Hotzenplotz,FN|LN
Ida Fuß,FN|LN
Geroldsauer,LN
Gottfried Stutz,FN|LN
"DAMARIS, Dyonisia",LN|FN
Evelyn Dewald,FN|LN
"Tupolev, Konstantin",LN|FN
Schönfeld,LN
L. Rombach,FN|LN
Herwig Leber,FN|LN
Renate Ermelova,FN|LN
Jonathan Lorenz,FN|LN
Yorgos Kokiniakis,FN|LN
"Haefner, Heinz",LN|FN
Holger M. Recklinghausen,FN|FN|LN
Pommerening,LN
Cornelia Müller,FN|LN
"Gebauer, Gerlinde",LN|FN
Rieser,LN
"Weil, Klementine",LN|FN
Elisabeth Wiedemann,FN|LN
Stephan Keil,FN|LN
Antonia Anderer,FN|LN
